Brand,Price,Horsepower,Fuel Efficiency,Encoded_Brand,Scaled_Horsepower,Scaled_Fuel_Efficiency,Scaled_Brand,Performance_Index
Brand Z,97568,210,11.1,7,0.275,0.043999999999999984,0.75,2331.0
Brand C,66689,137,16.7,6,0.0925,0.26799999999999996,0.625,2287.9
Brand Z,71316,293,31.3,7,0.4825,0.852,0.75,9170.9
Brand D,84341,152,16.0,9,0.13,0.24,1.0,2432.0
Brand Y,64313,246,23.3,3,0.365,0.532,0.25,5731.8
Brand Y,50237,470,11.6,3,0.925,0.06399999999999999,0.25,5452.0
Brand W,31847,167,11.7,1,0.1675,0.06799999999999998,0.0,1953.8999999999999
Brand X,98447,430,30.0,8,0.825,0.8,0.875,12900.0
Brand D,91221,374,18.2,9,0.685,0.32799999999999996,1.0,6806.8
Brand B,66445,143,17.8,5,0.1075,0.31200000000000006,0.5,2545.4
Brand A,83235,321,14.7,4,0.5525,0.18799999999999997,0.375,4718.7
Brand Y,65593,153,22.9,3,0.1325,0.5159999999999999,0.25,3503.7
Brand Z,85764,195,25.3,7,0.2375,0.612,0.75,4933.5
Brand D,78500,285,28.9,9,0.4625,0.7559999999999999,1.0,8236.5
Brand A,74535,223,15.3,4,0.3075,0.21200000000000002,0.375,3411.9
Brand D,31302,324,22.0,9,0.56,0.48,1.0,7128.0
Brand E,92519,452,10.2,2,0.88,0.007999999999999972,0.125,4610.4
Brand Y,72976,479,13.8,3,0.9475,0.15200000000000002,0.25,6610.200000000001
Brand Y,39822,396,19.7,3,0.74,0.38799999999999996,0.25,7801.2
Brand E,93107,386,27.4,2,0.715,0.696,0.125,10576.4
Brand A,48612,206,17.0,4,0.265,0.28,0.375,3502.0
Brand Y,88829,483,20.5,3,0.9575,0.42,0.25,9901.5
Brand X,39856,323,23.2,8,0.5575,0.528,0.875,7493.599999999999
Brand W,78459,273,18.0,1,0.4325,0.32,0.0,4914.0
Brand E,55791,310,16.4,2,0.525,0.25599999999999995,0.125,5084.0
Brand C,75063,387,19.6,6,0.7175,0.38400000000000006,0.625,7585.200000000001
Brand A,56764,289,21.4,4,0.4725,0.45599999999999996,0.375,6184.599999999999
Brand E,44259,190,16.0,2,0.225,0.24,0.125,3040.0
Brand D,37382,316,18.3,9,0.54,0.332,1.0,5782.8
Brand X,87028,153,26.1,8,0.1325,0.644,0.875,3993.3
Brand D,30943,341,19.5,9,0.6025,0.38,1.0,6649.5
Brand Z,61144,121,21.0,7,0.0525,0.44,0.75,2541.0
Brand C,71918,337,27.0,6,0.5925,0.68,0.625,9099.0
Brand D,77096,277,18.8,9,0.4425,0.35200000000000004,1.0,5207.6
Brand Y,49574,279,12.2,3,0.4475,0.08799999999999997,0.25,3403.7999999999997
Brand B,39363,375,20.0,5,0.6875,0.4,0.5,7500.0
Brand B,34221,332,18.5,5,0.58,0.34,0.5,6142.0
Brand E,88438,168,24.5,2,0.17,0.58,0.125,4116.0
Brand A,50353,369,27.8,4,0.6725,0.7120000000000001,0.375,10258.2
Brand E,63800,242,35.0,2,0.355,1.0,0.125,8470.0
Brand B,90449,296,21.0,5,0.49,0.44,0.5,6216.0
Brand B,60938,322,34.3,5,0.555,0.9719999999999999,0.5,11044.599999999999
Brand D,33106,205,19.6,9,0.2625,0.38400000000000006,1.0,4018.0000000000005
Brand Y,51122,481,13.7,3,0.9525,0.14799999999999996,0.25,6589.7
Brand B,71185,307,21.6,5,0.5175,0.4640000000000001,0.5,6631.200000000001
Brand C,75183,101,17.3,6,0.0025,0.29200000000000004,0.625,1747.3000000000002
Brand C,31727,211,13.9,6,0.2775,0.15600000000000003,0.625,2932.9
Brand D,76106,220,17.6,9,0.3,0.30400000000000005,1.0,3872.0000000000005
Brand D,63561,294,31.1,9,0.485,0.8440000000000001,1.0,9143.4
Brand W,53323,172,16.9,1,0.18,0.27599999999999997,0.0,2906.7999999999997
Brand E,80449,108,27.1,2,0.02,0.684,0.125,2926.8
Brand B,91533,292,34.4,5,0.48,0.976,0.5,10044.8
Brand X,31005,280,29.9,8,0.45,0.7959999999999999,0.875,8372.0
Brand B,76365,250,23.7,5,0.375,0.5479999999999999,0.5,5925.0
Brand E,68841,373,19.5,2,0.6825,0.38,0.125,7273.5
Brand Z,72771,393,34.9,7,0.7325,0.996,0.75,13715.699999999999
Brand W,87291,308,26.2,1,0.52,0.648,0.0,8069.599999999999
Brand X,83533,127,25.5,8,0.0675,0.62,0.875,3238.5
Brand C,56332,376,20.5,6,0.69,0.42,0.625,7708.0
Brand E,76522,248,28.4,2,0.37,0.736,0.125,7043.2
Brand B,38192,496,22.3,5,0.99,0.49200000000000005,0.5,11060.800000000001
Brand C,69835,484,13.9,6,0.96,0.15600000000000003,0.625,6727.6
Brand A,70902,246,30.6,4,0.365,0.8240000000000001,0.375,7527.6
Brand C,64592,330,29.5,6,0.575,0.78,0.625,9735.0
Brand W,75839,343,22.2,1,0.6075,0.488,0.0,7614.599999999999
Brand B,32522,492,23.1,5,0.98,0.524,0.5,11365.2
Brand Z,36535,433,18.1,7,0.8325,0.32400000000000007,0.75,7837.3
Brand Y,88046,168,33.5,3,0.17,0.94,0.25,5628.0
Brand A,59600,349,24.2,4,0.6225,0.568,0.375,8445.8
Brand X,35908,182,31.9,8,0.205,0.8759999999999999,0.875,5805.8
Brand W,72974,150,33.1,1,0.125,0.924,0.0,4965.0
Brand W,53806,497,19.4,1,0.9925,0.37599999999999995,0.0,9641.8
Brand E,54205,264,16.8,2,0.41,0.272,0.125,4435.2
Brand E,55313,473,18.3,2,0.9325,0.332,0.125,8655.9
Brand B,71229,359,12.9,5,0.6475,0.11600000000000002,0.5,4631.1
Brand W,66275,323,13.7,1,0.5575,0.14799999999999996,0.0,4425.099999999999
Brand X,84850,188,15.8,8,0.22,0.23200000000000004,0.875,2970.4
Brand E,61812,185,33.0,2,0.2125,0.92,0.125,6105.0
Brand Z,72235,253,14.3,7,0.3825,0.17200000000000004,0.75,3617.9
Brand Y,58407,387,33.1,3,0.7175,0.924,0.25,12809.7
Brand D,80985,172,20.1,9,0.18,0.4040000000000001,1.0,3457.2000000000003
Brand A,40398,150,30.1,4,0.125,0.804,0.375,4515.0
Brand C,55465,400,11.4,6,0.75,0.056000000000000015,0.625,4560.0
Brand Z,31743,186,31.5,7,0.215,0.86,0.75,5859.0
Brand Y,77180,260,31.1,3,0.4,0.8440000000000001,0.25,8086.0
Brand E,81336,446,34.1,2,0.865,0.9640000000000001,0.125,15208.6
Brand D,42672,165,26.2,9,0.1625,0.648,1.0,4323.0
Brand D,44391,285,24.8,9,0.4625,0.5920000000000001,1.0,7068.0
Brand W,76034,275,15.1,1,0.4375,0.204,0.0,4152.5
Brand A,96484,444,28.9,4,0.86,0.7559999999999999,0.375,12831.599999999999
Brand B,38850,456,32.3,5,0.89,0.8919999999999999,0.5,14728.8
Brand X,86932,282,32.7,8,0.455,0.9080000000000001,0.875,9221.400000000001
Brand C,35956,333,11.6,6,0.5825,0.06399999999999999,0.625,3862.7999999999997
Brand W,86440,270,26.2,1,0.425,0.648,0.0,7074.0
Brand W,75155,313,12.7,1,0.5325,0.10799999999999997,0.0,3975.1
Brand E,82161,188,35.0,2,0.22,1.0,0.125,6580.0
Brand A,38930,242,20.0,4,0.355,0.4,0.375,4840.0
Brand D,69829,359,28.3,9,0.6475,0.732,1.0,10159.7
Brand X,45330,309,23.4,8,0.5225,0.5359999999999999,0.875,7230.599999999999
Brand Y,35114,318,33.7,3,0.545,0.9480000000000001,0.25,10716.6
Brand X,48390,252,25.7,8,0.38,0.628,0.875,6476.4
Brand D,99608,346,12.1,9,0.615,0.08399999999999999,1.0,4186.599999999999
Brand X,91753,337,13.3,8,0.5925,0.13200000000000003,0.875,4482.1
Brand X,37796,388,10.4,8,0.72,0.016000000000000014,0.875,4035.2000000000003
Brand B,50165,366,23.7,5,0.665,0.5479999999999999,0.5,8674.199999999999
Brand C,60479,432,24.8,6,0.83,0.5920000000000001,0.625,10713.6
Brand A,65286,201,15.9,4,0.2525,0.23600000000000002,0.375,3195.9
Brand C,95003,378,21.8,6,0.695,0.47200000000000003,0.625,8240.4
Brand Y,64309,252,23.2,3,0.38,0.528,0.25,5846.4
Brand B,71281,152,24.1,5,0.13,0.5640000000000001,0.5,3663.2000000000003
Brand C,92767,278,15.3,6,0.445,0.21200000000000002,0.625,4253.400000000001
Brand E,81021,486,11.0,2,0.965,0.04,0.125,5346.0
Brand Y,58605,146,15.1,3,0.115,0.204,0.25,2204.6
Brand A,66807,379,25.4,4,0.6975,0.616,0.375,9626.6
Brand C,85904,372,11.8,6,0.68,0.07200000000000002,0.625,4389.6
Brand C,32628,416,33.3,6,0.79,0.9319999999999999,0.625,13852.8
Brand D,91079,372,17.3,9,0.68,0.29200000000000004,1.0,6435.6
Brand W,41076,470,24.8,1,0.925,0.5920000000000001,0.0,11656.0
Brand Z,60237,387,22.8,7,0.7175,0.512,0.75,8823.6
Brand X,92877,340,34.9,8,0.6,0.996,0.875,11866.0
Brand D,76630,422,10.8,9,0.805,0.03200000000000003,1.0,4557.6
Brand Z,96625,413,12.2,7,0.7825,0.08799999999999997,0.75,5038.599999999999
Brand X,90523,361,10.5,8,0.6525,0.02,0.875,3790.5
Brand W,58818,484,17.2,1,0.96,0.288,0.0,8324.8
Brand W,64867,299,13.3,1,0.4975,0.13200000000000003,0.0,3976.7000000000003
Brand D,83017,291,32.8,9,0.4775,0.9119999999999999,1.0,9544.8
Brand A,96630,244,13.6,4,0.36,0.144,0.375,3318.4
Brand D,70614,207,33.7,9,0.2675,0.9480000000000001,1.0,6975.900000000001
Brand B,49723,295,12.6,5,0.4875,0.10399999999999998,0.5,3717.0
Brand X,43467,110,35.0,8,0.025,1.0,0.875,3850.0
Brand B,67384,201,12.8,5,0.2525,0.11200000000000003,0.5,2572.8
Brand E,68669,202,28.3,2,0.255,0.732,0.125,5716.6
Brand X,75586,238,26.3,8,0.345,0.652,0.875,6259.400000000001
Brand D,68136,172,30.2,9,0.18,0.8079999999999999,1.0,5194.4
Brand C,56032,329,13.8,6,0.5725,0.15200000000000002,0.625,4540.2
Brand Y,97259,314,33.2,3,0.535,0.9280000000000002,0.25,10424.800000000001
Brand C,97974,170,20.7,6,0.175,0.428,0.625,3519.0
Brand E,80007,218,23.6,2,0.295,0.544,0.125,5144.8
Brand Y,42677,153,12.7,3,0.1325,0.10799999999999997,0.25,1943.1
Brand Z,63670,215,28.9,7,0.2875,0.7559999999999999,0.75,6213.5
Brand Z,37521,197,23.4,7,0.2425,0.5359999999999999,0.75,4609.799999999999
Brand X,67829,443,28.1,8,0.8575,0.7240000000000001,0.875,12448.300000000001
Brand A,43999,481,12.3,4,0.9525,0.09200000000000003,0.375,5916.3
Brand B,39646,452,16.0,5,0.88,0.24,0.5,7232.0
Brand C,72030,305,10.5,6,0.5125,0.02,0.625,3202.5
Brand W,54784,294,14.7,1,0.485,0.18799999999999997,0.0,4321.8
Brand E,89287,392,14.3,2,0.73,0.17200000000000004,0.125,5605.6
Brand B,46593,270,32.5,5,0.425,0.9,0.5,8775.0
Brand W,88187,436,28.0,1,0.84,0.72,0.0,12208.0
Brand E,84484,315,23.2,2,0.5375,0.528,0.125,7308.0
Brand X,69389,372,28.4,8,0.68,0.736,0.875,10564.8
Brand B,98972,251,16.7,5,0.3775,0.26799999999999996,0.5,4191.7
Brand E,56475,191,21.4,2,0.2275,0.45599999999999996,0.125,4087.3999999999996
Brand X,86108,369,15.1,8,0.6725,0.204,0.875,5571.9
Brand C,38746,406,16.9,6,0.765,0.27599999999999997,0.625,6861.4
Brand Y,80184,100,30.6,3,0.0,0.8240000000000001,0.25,3060.0
Brand E,77171,309,28.6,2,0.5225,0.7440000000000001,0.125,8837.4
Brand D,88021,455,24.7,9,0.8875,0.588,1.0,11238.5
Brand Z,77372,190,31.2,7,0.225,0.848,0.75,5928.0
Brand D,62175,393,23.5,9,0.7325,0.54,1.0,9235.5
Brand C,90777,365,27.8,6,0.6625,0.7120000000000001,0.625,10147.0
Brand E,56164,239,25.8,2,0.3475,0.632,0.125,6166.2
Brand D,64275,270,19.0,9,0.425,0.36,1.0,5130.0
Brand A,86236,414,33.6,4,0.785,0.9440000000000001,0.375,13910.400000000001
Brand Z,44930,136,16.4,7,0.09,0.25599999999999995,0.75,2230.3999999999996
Brand X,95270,349,23.9,8,0.6225,0.5559999999999999,0.875,8341.1
Brand A,89794,199,11.3,4,0.2475,0.052000000000000025,0.375,2248.7000000000003
Brand D,97961,138,30.0,9,0.095,0.8,1.0,4140.0
Brand Z,85449,356,13.0,7,0.64,0.12,0.75,4628.0
Brand X,33159,473,25.3,8,0.9325,0.612,0.875,11966.9
Brand E,60429,411,18.3,2,0.7775,0.332,0.125,7521.3
Brand Y,41836,205,13.6,3,0.2625,0.144,0.25,2788.0
Brand B,77828,494,33.8,5,0.985,0.9519999999999998,0.5,16697.199999999997
Brand Z,32643,458,28.8,7,0.895,0.752,0.75,13190.4
Brand W,71043,170,31.2,1,0.175,0.848,0.0,5304.0
Brand C,76510,378,26.4,6,0.695,0.6559999999999999,0.625,9979.199999999999
Brand W,94025,172,19.6,1,0.18,0.38400000000000006,0.0,3371.2000000000003
Brand B,77633,363,28.1,5,0.6575,0.7240000000000001,0.5,10200.300000000001
Brand X,74483,167,18.5,8,0.1675,0.34,0.875,3089.5
Brand W,33916,154,28.1,1,0.135,0.7240000000000001,0.0,4327.400000000001
Brand D,79732,231,18.1,9,0.3275,0.32400000000000007,1.0,4181.1
Brand E,93297,215,23.0,2,0.2875,0.52,0.125,4945.0
Brand B,85486,222,19.2,5,0.305,0.368,0.5,4262.4
Brand D,84866,348,16.4,9,0.62,0.25599999999999995,1.0,5707.2
Brand B,91604,148,30.2,5,0.12,0.8079999999999999,0.5,4469.599999999999
Brand C,60099,443,27.8,6,0.8575,0.7120000000000001,0.625,12315.4
Brand X,61679,207,28.8,8,0.2675,0.752,0.875,5961.6
Brand X,90424,353,22.0,8,0.6325,0.48,0.875,7766.0
Brand Z,70428,133,32.6,7,0.0825,0.904,0.75,4335.8
Brand X,46317,300,24.9,8,0.5,0.596,0.875,7470.0
Brand A,63079,297,31.7,4,0.4925,0.868,0.375,9414.9
Brand D,31081,251,15.5,9,0.3775,0.22,1.0,3890.5
Brand Z,97062,255,18.4,7,0.3875,0.33599999999999997,0.75,4692.0
Brand W,52316,414,10.8,1,0.785,0.03200000000000003,0.0,4471.200000000001
Brand X,45251,115,12.0,8,0.0375,0.08,0.875,1380.0
Brand B,68405,110,12.1,5,0.025,0.08399999999999999,0.5,1331.0
Brand C,64068,251,28.1,6,0.3775,0.7240000000000001,0.625,7053.1
Brand W,44218,397,21.5,1,0.7425,0.46,0.0,8535.5
Brand Y,75729,107,12.1,3,0.0175,0.08399999999999999,0.25,1294.7
Brand D,93092,107,24.8,9,0.0175,0.5920000000000001,1.0,2653.6
Brand B,85346,158,23.5,5,0.145,0.54,0.5,3713.0
Brand Y,38410,331,29.8,3,0.5775,0.792,0.25,9863.800000000001
Brand B,97751,390,18.3,5,0.725,0.332,0.5,7137.0
Brand E,85010,388,14.3,2,0.72,0.17200000000000004,0.125,5548.400000000001
Brand D,46301,294,32.8,9,0.485,0.9119999999999999,1.0,9643.199999999999
Brand W,87460,344,19.0,1,0.61,0.36,0.0,6536.0
Brand W,68975,400,13.0,1,0.75,0.12,0.0,5200.0
Brand D,75006,414,14.7,9,0.785,0.18799999999999997,1.0,6085.799999999999
Brand B,41238,216,32.0,5,0.29,0.88,0.5,6912.0
Brand W,47467,473,23.5,1,0.9325,0.54,0.0,11115.5
Brand Y,44422,381,31.5,3,0.7025,0.86,0.25,12001.5
Brand Z,42930,279,11.8,7,0.4475,0.07200000000000002,0.75,3292.2000000000003
Brand D,60122,460,21.0,9,0.9,0.44,1.0,9660.0
Brand B,66154,406,29.9,5,0.765,0.7959999999999999,0.5,12139.4
Brand W,96043,478,24.9,1,0.945,0.596,0.0,11902.199999999999
Brand D,91652,162,22.0,9,0.155,0.48,1.0,3564.0
Brand Y,56848,114,30.5,3,0.035,0.82,0.25,3477.0
Brand D,50394,173,13.0,9,0.1825,0.12,1.0,2249.0
Brand C,74128,254,29.4,6,0.385,0.7759999999999999,0.625,7467.599999999999
Brand C,73289,419,27.3,6,0.7975,0.6920000000000001,0.625,11438.7
Brand D,89075,237,17.7,9,0.3425,0.308,1.0,4194.9
Brand Z,68237,222,21.8,7,0.305,0.47200000000000003,0.75,4839.6
Brand Z,58322,152,10.6,7,0.13,0.023999999999999987,0.75,1611.2
Brand Z,72416,246,25.1,7,0.365,0.6040000000000001,0.75,6174.6
Brand B,77161,376,16.0,5,0.69,0.24,0.5,6016.0
Brand Z,30588,287,28.4,7,0.4675,0.736,0.75,8150.799999999999
Brand Y,53590,118,26.6,3,0.045,0.664,0.25,3138.8
Brand W,79720,131,21.6,1,0.0775,0.4640000000000001,0.0,2829.6000000000004
Brand Y,55840,489,28.3,3,0.9725,0.732,0.25,13838.7
Brand A,41824,346,33.8,4,0.615,0.9519999999999998,0.375,11694.8
Brand C,86170,151,27.9,6,0.1275,0.716,0.625,4212.9
Brand C,30947,255,34.9,6,0.3875,0.996,0.625,8899.5
Brand C,82804,306,20.7,6,0.515,0.428,0.625,6334.2
Brand C,95145,228,18.9,6,0.32,0.3559999999999999,0.625,4309.2
Brand Z,65892,443,11.5,7,0.8575,0.06,0.75,5094.5
Brand Z,97905,369,17.1,7,0.6725,0.28400000000000003,0.75,6309.900000000001
Brand B,42487,473,22.4,5,0.9325,0.49599999999999994,0.5,10595.199999999999
Brand B,34604,104,32.9,5,0.01,0.9159999999999999,0.5,3421.6
Brand B,77429,448,28.2,5,0.87,0.728,0.5,12633.6
Brand C,80662,344,23.6,6,0.61,0.544,0.625,8118.400000000001
Brand E,30095,443,24.2,2,0.8575,0.568,0.125,10720.6
Brand Z,66724,289,11.8,7,0.4725,0.07200000000000002,0.75,3410.2000000000003
Brand E,80558,404,11.5,2,0.76,0.06,0.125,4646.0
Brand W,93145,312,33.6,1,0.53,0.9440000000000001,0.0,10483.2
Brand W,45332,453,16.0,1,0.8825,0.24,0.0,7248.0
Brand C,83604,121,13.8,6,0.0525,0.15200000000000002,0.625,1669.8000000000002
Brand E,65186,211,25.1,2,0.2775,0.6040000000000001,0.125,5296.1
Brand Y,53694,459,27.8,3,0.8975,0.7120000000000001,0.25,12760.2
Brand X,34062,372,27.4,8,0.68,0.696,0.875,10192.8
Brand B,34924,460,18.6,5,0.9,0.3440000000000001,0.5,8556.0
Brand Y,39514,445,28.6,3,0.8625,0.7440000000000001,0.25,12727.0
Brand Z,34110,461,20.0,7,0.9025,0.4,0.75,9220.0
Brand Z,71939,164,33.5,7,0.16,0.94,0.75,5494.0
Brand A,40979,474,24.8,4,0.935,0.5920000000000001,0.375,11755.2
Brand Y,46958,396,15.9,3,0.74,0.23600000000000002,0.25,6296.400000000001
Brand Z,90222,295,12.2,7,0.4875,0.08799999999999997,0.75,3599.0
Brand E,60037,374,21.3,2,0.685,0.452,0.125,7966.2
Brand W,40505,264,32.3,1,0.41,0.8919999999999999,0.0,8527.199999999999
Brand C,99207,357,29.4,6,0.6425,0.7759999999999999,0.625,10495.8
Brand D,88173,255,32.4,9,0.3875,0.8959999999999999,1.0,8262.0
Brand A,99860,329,11.1,4,0.5725,0.043999999999999984,0.375,3651.9
Brand X,51005,490,20.6,8,0.975,0.42400000000000004,0.875,10094.0
Brand C,34951,254,23.1,6,0.385,0.524,0.625,5867.400000000001
Brand B,47995,165,20.1,5,0.1625,0.4040000000000001,0.5,3316.5000000000005
Brand E,96881,190,17.2,2,0.225,0.288,0.125,3268.0
Brand D,66715,277,30.8,9,0.4425,0.8320000000000001,1.0,8531.6
Brand C,92372,358,18.1,6,0.645,0.32400000000000007,0.625,6479.8
Brand B,82910,272,14.3,5,0.43,0.17200000000000004,0.5,3889.6000000000004
Brand A,68562,453,28.5,4,0.8825,0.74,0.375,12910.5
Brand A,75058,129,17.2,4,0.0725,0.288,0.375,2218.7999999999997
Brand Y,84394,366,21.9,3,0.665,0.4759999999999999,0.25,8015.4
Brand Y,78424,365,17.2,3,0.6625,0.288,0.25,6278.0
Brand B,40786,453,11.5,5,0.8825,0.06,0.5,5209.5
Brand Z,91153,450,16.1,7,0.875,0.24400000000000005,0.75,7245.000000000001
Brand E,65393,461,20.5,2,0.9025,0.42,0.125,9450.5
Brand B,96597,169,13.7,5,0.1725,0.14799999999999996,0.5,2315.2999999999997
Brand Z,64441,480,23.0,7,0.95,0.52,0.75,11040.0
Brand E,32497,389,15.2,2,0.7225,0.20799999999999996,0.125,5912.799999999999
Brand Z,32890,118,10.6,7,0.045,0.023999999999999987,0.75,1250.8
Brand E,73428,357,32.3,2,0.6425,0.8919999999999999,0.125,11531.099999999999
Brand A,77592,476,19.2,4,0.94,0.368,0.375,9139.199999999999
Brand D,45956,249,12.8,9,0.3725,0.11200000000000003,1.0,3187.2000000000003
Brand Z,85745,264,28.4,7,0.41,0.736,0.75,7497.599999999999
Brand W,65684,349,31.4,1,0.6225,0.856,0.0,10958.6
Brand Y,67921,180,11.7,3,0.2,0.06799999999999998,0.25,2106.0
Brand D,56212,392,33.2,9,0.73,0.9280000000000002,1.0,13014.400000000001
Brand Z,94740,313,32.9,7,0.5325,0.9159999999999999,0.75,10297.699999999999
Brand C,41184,477,26.4,6,0.9425,0.6559999999999999,0.625,12592.8
Brand D,84565,204,21.5,9,0.26,0.46,1.0,4386.0
Brand Z,51147,232,27.4,7,0.33,0.696,0.75,6356.799999999999
Brand A,60738,373,21.0,4,0.6825,0.44,0.375,7833.0
Brand E,36517,281,30.3,2,0.4525,0.812,0.125,8514.300000000001
Brand A,83928,264,21.6,4,0.41,0.4640000000000001,0.375,5702.400000000001
Brand X,40091,489,14.6,8,0.9725,0.184,0.875,7139.4
Brand Z,36478,205,12.7,7,0.2625,0.10799999999999997,0.75,2603.5
Brand A,34137,183,25.6,4,0.2075,0.6240000000000001,0.375,4684.8
Brand X,52831,188,13.0,8,0.22,0.12,0.875,2444.0
Brand W,44434,143,14.9,1,0.1075,0.196,0.0,2130.7000000000003
Brand A,69895,451,23.7,4,0.8775,0.5479999999999999,0.375,10688.699999999999
Brand Z,32429,439,22.1,7,0.8475,0.48400000000000004,0.75,9701.900000000001
Brand D,92467,288,11.8,9,0.47,0.07200000000000002,1.0,3398.4
Brand X,48089,141,19.3,8,0.1025,0.37200000000000005,0.875,2721.3
Brand B,75505,198,18.2,5,0.245,0.32799999999999996,0.5,3603.6
Brand C,67980,168,19.1,6,0.17,0.36400000000000005,0.625,3208.8
Brand W,83066,371,12.8,1,0.6775,0.11200000000000003,0.0,4748.8
Brand W,66320,277,25.5,1,0.4425,0.62,0.0,7063.5
Brand A,80998,123,22.1,4,0.0575,0.48400000000000004,0.375,2718.3
Brand Y,90173,459,14.1,3,0.8975,0.16399999999999998,0.25,6471.9
Brand A,58300,266,34.5,4,0.415,0.98,0.375,9177.0
Brand Y,93846,487,31.8,3,0.9675,0.872,0.25,15486.6
Brand D,94707,459,24.0,9,0.8975,0.56,1.0,11016.0
Brand A,59802,381,27.5,4,0.7025,0.7,0.375,10477.5
Brand W,38355,434,20.9,1,0.835,0.43599999999999994,0.0,9070.599999999999
Brand A,62010,389,31.4,4,0.7225,0.856,0.375,12214.599999999999
Brand W,94323,393,16.9,1,0.7325,0.27599999999999997,0.0,6641.7
Brand A,85433,362,14.7,4,0.655,0.18799999999999997,0.375,5321.4
Brand W,59917,317,30.1,1,0.5425,0.804,0.0,9541.7
Brand W,44468,450,29.4,1,0.875,0.7759999999999999,0.0,13230.0
Brand B,79601,311,13.6,5,0.5275,0.144,0.5,4229.599999999999
Brand E,66341,481,31.5,2,0.9525,0.86,0.125,15151.5
Brand Y,38565,273,31.4,3,0.4325,0.856,0.25,8572.199999999999
Brand B,72454,235,30.7,5,0.3375,0.828,0.5,7214.5
Brand E,58386,436,33.9,2,0.84,0.956,0.125,14780.4
Brand X,70842,360,30.2,8,0.65,0.8079999999999999,0.875,10872.0
Brand A,54823,219,23.2,4,0.2975,0.528,0.375,5080.8
Brand C,36700,124,22.2,6,0.06,0.488,0.625,2752.7999999999997
Brand Z,65160,231,31.8,7,0.3275,0.872,0.75,7345.8
Brand Z,85741,262,17.6,7,0.405,0.30400000000000005,0.75,4611.200000000001
Brand Z,59956,108,27.7,7,0.02,0.708,0.75,2991.6
Brand Z,52695,402,25.7,7,0.755,0.628,0.75,10331.4
Brand Y,59104,182,13.5,3,0.205,0.14,0.25,2457.0
Brand C,58018,275,33.8,6,0.4375,0.9519999999999998,0.625,9295.0
Brand Y,83105,213,20.6,3,0.2825,0.42400000000000004,0.25,4387.8
Brand W,57816,357,23.2,1,0.6425,0.528,0.0,8282.4
Brand A,61036,140,24.2,4,0.1,0.568,0.375,3388.0
Brand C,81433,182,23.7,6,0.205,0.5479999999999999,0.625,4313.4
Brand Z,42021,297,32.1,7,0.4925,0.884,0.75,9533.7
Brand X,82015,384,28.9,8,0.71,0.7559999999999999,0.875,11097.599999999999
Brand E,92423,398,18.9,2,0.745,0.3559999999999999,0.125,7522.2
Brand E,44282,496,12.5,2,0.99,0.1,0.125,6200.0
Brand B,59084,392,33.7,5,0.73,0.9480000000000001,0.5,13210.400000000001
Brand C,53285,498,19.8,6,0.995,0.392,0.625,9860.4
Brand C,32263,311,13.5,6,0.5275,0.14,0.625,4198.5
Brand X,54647,268,22.6,8,0.42,0.504,0.875,6056.8
Brand Z,83292,400,14.7,7,0.75,0.18799999999999997,0.75,5880.0
Brand C,53035,332,20.1,6,0.58,0.4040000000000001,0.625,6673.200000000001
Brand A,31857,440,20.6,4,0.85,0.42400000000000004,0.375,9064.0
Brand Y,44968,260,13.9,3,0.4,0.15600000000000003,0.25,3614.0
Brand D,52948,480,31.8,9,0.95,0.872,1.0,15264.0
Brand Z,40223,336,33.9,7,0.59,0.956,0.75,11390.4
Brand D,86558,239,12.7,9,0.3475,0.10799999999999997,1.0,3035.2999999999997
Brand W,98158,385,11.3,1,0.7125,0.052000000000000025,0.0,4350.5
Brand X,76603,464,33.4,8,0.91,0.9359999999999999,0.875,15497.599999999999
Brand E,43802,253,12.0,2,0.3825,0.08,0.125,3036.0
Brand D,97978,345,13.3,9,0.6125,0.13200000000000003,1.0,4588.5
Brand W,85551,469,15.2,1,0.9225,0.20799999999999996,0.0,7128.799999999999
Brand Z,30660,165,33.3,7,0.1625,0.9319999999999999,0.75,5494.499999999999
Brand W,36129,112,25.6,1,0.03,0.6240000000000001,0.0,2867.2000000000003
Brand D,83483,259,32.3,9,0.3975,0.8919999999999999,1.0,8365.699999999999
Brand D,60197,273,32.9,9,0.4325,0.9159999999999999,1.0,8981.699999999999
Brand Y,54940,369,24.3,3,0.6725,0.5720000000000001,0.25,8966.7
Brand B,43593,155,21.3,5,0.1375,0.452,0.5,3301.5
Brand A,42924,351,19.6,4,0.6275,0.38400000000000006,0.375,6879.6
Brand D,94263,155,13.6,9,0.1375,0.144,1.0,2108.0
Brand E,55052,302,26.5,2,0.505,0.66,0.125,8003.0
Brand C,81771,259,25.6,6,0.3975,0.6240000000000001,0.625,6630.400000000001
Brand C,87282,279,18.1,6,0.4475,0.32400000000000007,0.625,5049.900000000001
Brand Z,75810,318,21.9,7,0.545,0.4759999999999999,0.75,6964.2
Brand Y,55549,301,28.1,3,0.5025,0.7240000000000001,0.25,8458.1
Brand Z,89167,401,22.2,7,0.7525,0.488,0.75,8902.199999999999
Brand B,35427,458,10.9,5,0.895,0.03600000000000001,0.5,4992.2
Brand B,43226,331,30.3,5,0.5775,0.812,0.5,10029.300000000001
Brand C,87089,244,17.6,6,0.36,0.30400000000000005,0.625,4294.400000000001
